date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-07-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1378682,megawatthours,houston
2025-07-06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1409726,megawatthours,houston
2025-07-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1505984,megawatthours,houston
2025-07-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1484849,megawatthours,houston
2025-07-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1471587,megawatthours,houston
2025-07-10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1534068,megawatthours,houston
2025-07-11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1542283,megawatthours,houston
2025-07-12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1493102,megawatthours,houston
2025-07-13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1424677,megawatthours,houston
2025-07-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1510140,megawatthours,houston
2025-07-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1575662,megawatthours,houston
2025-07-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1597302,megawatthours,houston
2025-07-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1572318,megawatthours,houston
2025-07-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1572266,megawatthours,houston
2025-07-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1578805,megawatthours,houston
2025-07-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1591328,megawatthours,houston
