date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-07-07,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2876563,megawatthours,chicago
2025-07-08,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2889037,megawatthours,chicago
2025-07-09,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2801956,megawatthours,chicago
2025-07-10,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2734933,megawatthours,chicago
2025-07-11,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2870812,megawatthours,chicago
2025-07-12,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2747174,megawatthours,chicago
2025-07-13,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2671369,megawatthours,chicago
2025-07-14,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2836449,megawatthours,chicago
2025-07-15,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2885264,megawatthours,chicago
2025-07-16,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2952010,megawatthours,chicago
2025-07-17,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2915057,megawatthours,chicago
2025-07-18,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2669046,megawatthours,chicago
2025-07-19,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2550428,megawatthours,chicago
2025-07-20,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2603364,megawatthours,chicago
